trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.4, 'e': 0.5117085777865424}",20,0,-19.601397419137577,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.4, 'e': 0.5066169923655895}",25,11,-6.639649223307469,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.4, 'e': 0.5015760690660555}",30,0,-118.71793069489054,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
70,False,"{'a': 0.4, 'e': 0.49658530379140947}",30,2,-99.44897840009105,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 2}",1
71,False,"{'a': 0.4, 'e': 0.4916441974609651}",20,5,-38.374531149950165,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.4, 'e': 0.4867522559599717}",25,7,-41.21757913134471,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.4, 'e': 0.48190899009020244}",30,23,10.352634430957362,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.4771139155210344}",25,0,-74.39019777602263,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
75,False,"{'a': 0.4, 'e': 0.4723665527410147}",25,7,2.9232572655327975,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.46766642700990924}",25,3,-10.584746060199251,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
